Quarter,OffenseTeam,Down,ToGo,YardLine,FieldSide,Formation,PlayType,Yards,Runner,Target,IsIncomplete,IsDrop,IsTouchdown,PassType,RushDirection,IsSack,IsInterception,IsFumble,IsTurnover,IsPenalty,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
3,pats,1,10,27,ravens,undercenter,run,0,Harris,,,,,,middle,,,,,,,,,,
3,pats,2,10,27,ravens,shotgun,pass,25,,Parker,,,,deep left,,,,,,,,,,,
3,pats,1,2,2,ravens,shotgun,pass,0,,Harris,1,,,short left,,,,,,,,,,,
3,pats,2,2,2,ravens,shotgun,run,2,Harris,,,,1,,middle,,,,,,,,,,
3,ravens,1,10,25,ravens,shotgun,run,5,Dobbins,,,,,,left,,,,,,,,,,
3,ravens,2,5,30,ravens,shotgun,pass,0,,Andrews,1,,,,,,,,,,,,,,
3,ravens,3,5,30,ravens,shotgun,pass,21,,Duvernay,,,,middle,,,,,,,,,,,
3,ravens,1,10,49,pats,shotgun,run,9,Hill,,,,,,left,,,,,,,,,,
3,ravens,2,1,40,pats,shotgun,run,34,Hill,,,,,middle,,,,,,,,,,,
3,ravens,1,6,6,pats,shotgun,run,4,Dobbins,,,,,middle,,,,,,,,,,,
3,ravens,2,2,2,pats,undercenter,penalty,1,,,,,,,,,,,,1,1,pats,1,TM,1
3,ravens,2,1,2,pats,undercenter,pass,1,,,,,1,short middle,,,,,,,,,,,
3,pats,1,10,21,pats,undercenter,run,4,Stevenson,,,,,,right,,,,,,,,,,
3,pats,2,6,25,pats,shotgun,pass,8,,Henry,,,,middle,,,,,,,,,,,
3,pats,1,10,33,pats,undercenter,run,3,Stevenson,,,,,,middle,,,,,,,,,,
3,pats,1,10,36,pats,shotgun,pass,0,,Humphrey,1,,,middle left,,,,,,,,,,,
3,pats,3,7,36,pats,shotgun,pass,-5,,,,,,,,1,,,,,,,,,
3,ravens,1,10,44,pats,shotgun,run,38,Jackson,,,,,,middle,,,,,,,,,,
3,ravens,1,6,6,pats,shotgun,pass,0,,Ricard,,,,short left,,,,,,,,,,,
3,ravens,2,6,6,pats,shotgun,run,3,Duvernay,,,,,,left,,,,,,,,,,
3,ravens,3,3,3,pats,shotgun,pass,3,,Duvernay,,,1,middle right,,,,,,,,,,,
3,pats,1,10,25,pats,undercenter,run,3,Harris,,,,,,middle,,,,,,,,,,
3,pats,2,7,28,pats,undercenter,pass,0,,,1,,,,,,1,,1,,,,,,
3,ravens,1,10,43,pats,shotgun,run,4,Hill,,,,,,left,,,,,,,,,,
3,ravens,2,6,39,pats,shotgun,run,1,Hill,,,,,,middle,,,,,,,,,,
3,ravens,3,5,38,pats,shotgun,pass,0,,Bateman,1,,,deep right,,,,,,,,,,,
3,pats,1,10,25,pats,shotgun,pass,7,,Stevenson,,,,short right,,,,,,,,,,,
3,pats,2,7,32,pats,undercenter,run,18,Stevenson,,,,,,middle,,,,,,,,,,
3,pats,1,10,50,pats,shotgun,pass,24,,Parker,,,,middle right,,,,,,,,,,,
3,pats,1,10,26,ravens,undercenter,run,-3,Stevenson,,,,,,middle,,,,,,,,,,
4,pats,2,13,29,ravens,shotgun,pass,4,,Stevenson,,,,short right,,,,,,,,,,,
,pats,3,9,25,ravens,shotgun,run,8,Jones,,,,,,right,,,,,,,,,,
,pats,4,1,17,ravens,undercenter,pass,8,,Smith,,,,short left,,,,,,,,,,,
,pats,1,9,9,ravens,shotgun,pass,8,,Smith,,,,screen right,,,,,,,,,,,
,pats,2,1,1,ravens,undercenter,run,1,Stevenson,,,,1,,middle,,,,,,,,,,
,ravens,1,10,25,ravens,shotgun,pass,24,,Bateman,,,,middle left,,,,1,1,,,,,,
,pats,1,10,39,ravens,shotgun,pass,9,,Harris,,,,short left,,,,,,,,,,,
,pats,2,1,30,ravens,undercenter,run,5,Harris,,,,,,middle,,,,,,,,,,
,pats,1,10,25,ravens,shotgun,run,15,Jones,,,,,,left,,,,,,,,,,
,pats,1,10,10,ravens,shotgun,pass,-4,,Harris,,,,short left,,,,,,,,,,,
,pats,2,14,14,ravens,shotgun,run,4,Harris,,,,,,middle,,,,,,,,,,
,pats,3,10,10,ravens,shotgun,pass,0,,Myers,1,,,middle left,,,1,,1,,,,,,
,ravens,1,10,20,ravens,shotgun,run,1,Hill,,,,,,middle,,,,,,,,,,
,ravens,2,9,21,ravens,shotgun,pass,25,,Andrews,,,,middle left,,,,,,,,,,,
,ravens,1,10,46,ravens,shotgun,run,2,Jackson,,,,,,middle,,,,,,,,,,
,ravens,2,8,48,ravens,shotgun,pass,0,,,1,,,oob,,,,,,,,,,,
,ravens,3,8,48,ravens,shotgun,pass,0,,Robinson,1,,,middle left,,,,,,,,,,,
,pats,1,10,29,pats,shotgun,pass,0,,Parker,1,,,middle left,,,,,,,,,,,
,pats,2,10,29,pats,shotgun,run,4,Stevenson,,,,,,left,,,,,,,,,,
,pats,3,7,32,pats,shotgun,pass,29,,Agholor,,,,middle,,,,1,1,,,,,,
,ravens,1,10,27,ravens,undercenter,pass,0,,Andrews,1,,,middle left,,,,,,,,,,,
,ravens,2,10,27,ravens,shotgun,pass,34,,Bateman,,,,middle left,,,,,,,,,,,
,ravens,1,10,39,pats,shotgun,run,0,Dobbins,,,,,,right,,,,,,,,,,
,ravens,2,10,39,pats,shotgun,run,21,Jackson,,,,,,left,,,,,,,,,,
,ravens,1,10,18,pats,shotgun,pass,7,,Andrews,,,,short left,,,,,,,,,,,
,ravens,2,7,15,pats,shotgun,pass,6,,Andrews,,,,short right,,,,,,,,,,,
,ravens,3,1,9,pats,shotgun,run,9,Jackson,,,,1,,right,,,,,,,,,,
,pats,1,10,25,pats,shotgun,pass,0,,Stevenson,1,,,short left,,,,,,,,,,,
,,2,10,25,pats,shotgun,pass,-7,,,,,,,,1,,,,,,,,,
,,3,17,18,pats,shotgun,pass,26,,Bourne,,,,,middle,,,,,,,,,,
,,1,10,44,pats,shotgun,pass,0,,,,,,,,,1,,1,,,,,,
,,1,10,44,ravens,kneel,kneel,-1,,,,,,,,,,,,,,,,,
,,2,11,43,ravens,kneel,kneel,-1,,,,,,,,,,,,,,,,,
,,3,12,42,ravens,kneel,kneel,-1,,,,,,,,,,,,,,,,,
